row,old_url,derived_slug,heading,body_chars,blocks,h2_count,list_count,link_count,image_count,warnings
2,https://www.corporatespecialties.com/blog/eco-friendly-promotional-products-earth-day,eco-friendly-promotional-products-earth-day,Top Eco-Friendly Promotional Products For Earth Day—And Beyond,14374,79,0,1,0,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
3,https://www.corporatespecialties.com/blog/top-promotional-drinkware,top-promotional-drinkware,Thirsty For Effective Branding Ideas? Think Promotional Drinkware,10352,54,0,0,0,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
4,https://www.corporatespecialties.com/blog/standout-promotional-products-ppai-expo-2025,standout-promotional-products-ppai-expo-2025,"Stylish, Sustainable & Standout Promotional Products From The PPAI Expo 2025",9675,62,12,0,0,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1
5,https://www.corporatespecialties.com/blog/top-eco-friendly-promotional-journals,top-eco-friendly-promotional-journals,Top 4 Eco-Friendly Promotional Journals,5468,27,0,0,0,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
6,https://www.corporatespecialties.com/blog/corporate-health-wellness-branded-merch,corporate-health-wellness-branded-merch,Shape Up Corporate Health And Wellness Programs With Branded Merch,9656,45,0,0,0,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
7,https://www.corporatespecialties.com/blog/annual-promotional-marketing-calendar,annual-promotional-marketing-calendar,Plan Ahead To Get Ahead: The 2025 Promotional Marketing Calendar,1418,8,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
8,https://www.corporatespecialties.com/blog/top-eco-friendly-branded-apparel,top-eco-friendly-branded-apparel,Top 6 Eco-Friendly Branded Apparel Products,7713,44,0,1,0,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
9,https://www.corporatespecialties.com/blog/top-luxe-promotional-bags,top-luxe-promotional-bags,Luxury Is In The Bag: Top 8 Luxe Promotional Bags For Executives,11167,65,0,2,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
10,https://www.corporatespecialties.com/blog/top-company-swag,top-company-swag,The Ultimate 2026 Company Swag Guide: 51 Trending Products For Any Occasion,47662,285,51,3,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | very-long-body
11,https://www.corporatespecialties.com/blog/eco-friendly-bamboo-promotional-products,eco-friendly-bamboo-promotional-products,Top 5 Eco-Friendly Bamboo Promotional Products For Sustainable Branding,4656,28,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
12,https://www.corporatespecialties.com/blog/corporate-outerwear,corporate-outerwear,Warm Up Apparel Promos With Corporate Outerwear,6737,35,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
13,https://www.corporatespecialties.com/blog/promotional-writing-instruments,promotional-writing-instruments,Six Must-Have Promotional Writing Instruments To Fit Any Budget,6180,45,0,1,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
14,https://www.corporatespecialties.com/blog/top-merch-school-spirit,top-merch-school-spirit,School Spirit: Seven Branded Merch Items Students Will Cheer About,7564,41,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
15,https://www.corporatespecialties.com/blog/top-10-reasons-you-need-uniform-program,top-10-reasons-you-need-uniform-program,Top 10 Reasons YOU Need A Branded Uniform Program,8951,43,10,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1
16,https://www.corporatespecialties.com/blog/tiktok-fan-favorite-bic-intensity-click-gel-pens,tiktok-fan-favorite-bic-intensity-click-gel-pens,BIC Intensity Gel Click: Get The TikTok Trend For Your Biz,2361,13,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
17,https://www.corporatespecialties.com/blog/splurge-vs-steal-customized-black-laptop-backpacks,splurge-vs-steal-customized-black-laptop-backpacks,Splurge vs Steal: Customized Black Laptop Backpacks,4562,22,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
18,https://www.corporatespecialties.com/blog/top-promotional-golf-products,top-promotional-golf-products,8 Promotional Golf Products That Play To Win,8650,42,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
19,https://www.corporatespecialties.com/blog/singin-in-the-rain-spring-promo-products,singin-in-the-rain-spring-promo-products,Singin’ In The Rain: 4 Must-Have Promo Products For Spring,1392,13,3,0,0,0,
20,https://www.corporatespecialties.com/blog/travel-tumblers-stanley-look-for-less,travel-tumblers-stanley-look-for-less,Travel Tumblers: The Best Stanley Cup Dupes In 2024,5676,29,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
21,https://www.corporatespecialties.com/blog/dance-party-merch,dance-party-merch,4 Must-Have Dance Party Products For Your Next Merch Drop,1626,15,3,0,0,0,
22,https://www.corporatespecialties.com/blog/corporate-specialties-blog-wins-seventh-ppai-pyramid-award,corporate-specialties-blog-wins-seventh-ppai-pyramid-award,Corporate Specialties’ Blog Wins 7th PPAI Pyramid Award,4108,24,0,2,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
23,https://www.corporatespecialties.com/blog/6-ways-swag-can-help-rocket-your-business-into-the-new-year,6-ways-swag-can-help-rocket-your-business-into-the-new-year,6 Ways Branded Merch Can Help Rocket Your Business Throughout the New Year,6933,31,6,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1
24,https://www.corporatespecialties.com/blog/inner-city-100-award-winners-2023,inner-city-100-award-winners-2023,Corporate Specialties Ranks #70 On The Initiative For A Competitive Inner City’s Annual Inner City 100 List,3188,14,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
25,https://www.corporatespecialties.com/blog/ppai-growth-list-2023,ppai-growth-list-2023,Corporate Specialties Recognized As A PPAI Growth Leader,2617,14,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | REVIEW:broken-markdown-link:1 | no-h2-detected
26,https://www.corporatespecialties.com/blog/branded-floor-mats,branded-floor-mats,Custom Floor Mats: The Surprising Branding Opportunity That’s Right Underfoot,5819,38,4,0,1,0,REVIEW:obfuscated-email-placeholder:1
27,https://www.corporatespecialties.com/blog/merch-celebrities-will-love,merch-celebrities-will-love,How To Create Merch Celebrities Love: 3 Tips To Create A VIP Experience,2532,14,3,0,1,0,REVIEW:obfuscated-email-placeholder:1
28,https://www.corporatespecialties.com/blog/top-retail-inspired-promotional-coffee-mugs,top-retail-inspired-promotional-coffee-mugs,3 Retail-Inspired Promotional Coffee Mugs That Perk Up Marketing Campaigns,6029,28,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | no-h2-detected
29,https://www.corporatespecialties.com/blog/cozy-merch,cozy-merch,Winter-Proof Your Brand: 3 Cozy Promotional Products That Will Melt Customers’ Hearts,3515,21,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | no-h2-detected
30,https://www.corporatespecialties.com/blog/top-branded-toys-games,top-branded-toys-games,Branded Merch For Fun & Games All Year Long,3846,20,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | no-h2-detected
31,https://www.corporatespecialties.com/blog/get-the-bear-look-tubular-t-shirts,get-the-bear-look-tubular-t-shirts,Get “The Bear” Look: How To Emulate The Hit TV Show’s Iconic T-Shirt For Your Business,8882,49,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | no-h2-detected
32,https://www.corporatespecialties.com/blog/top-charcuterie-cheese-boards,top-charcuterie-cheese-boards,Say Cheese! 3 Charcuterie Boards That Guarantee Smiles,3788,20,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | no-h2-detected
33,https://www.corporatespecialties.com/blog/top-promotional-tech-gifts,top-promotional-tech-gifts,Ding! Gift Ideas That Are A TECHnical Knockout,3294,21,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | no-h2-detected
34,https://www.corporatespecialties.com/blog/ppai-lead-2023-recap,ppai-lead-2023-recap,Corporate Specialties Goes To Washington For PPAI L.E.A.D. 2023,5971,25,3,0,1,0,REVIEW:obfuscated-email-placeholder:1
35,https://www.corporatespecialties.com/blog/summertime-promotional-products,summertime-promotional-products,Fun In The Sun: 9 Must-Have Summertime Promotional Products To Create A Vacation Experience,16165,73,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | no-h2-detected
36,https://www.corporatespecialties.com/blog/top-promotional-bags,top-promotional-bags,7 Top Promotional Bags For Ultimate Brand Building,9275,49,0,0,1,0,REVIEW:obfuscated-email-placeholder:1 | no-h2-detected
37,https://www.corporatespecialties.com/blog/petitpop,petitpop,Got Stress? We Have Relief: The PetitPop,3195,22,0,1,1,0,REVIEW:obfuscated-email-placeholder:1 | no-h2-detected
38,https://www.corporatespecialties.com/blog/must-haves-trade-shows,must-haves-trade-shows,"Ready, Set, Show: 5 Must-Haves For Your Next Trade Show Exhibition",7025,32,5,0,1,0,REVIEW:obfuscated-email-placeholder:1
